"pre" "post" "clos" "Vpn" "Age" "G" "R" "P" "Cluster" "Place" "vint" "offset" "W"
"9" 55.124716553288 89.6825396825396 35.0793650793651 "ACM0011" "alt" "f" "Sevilla" "sk" "cluster" "vel" 179.886621315193 -17.2789115646259 "esquife"
"13" 21.5873015873016 69.3197278911565 55.1247165532881 "ACM0011" "alt" "f" "Sevilla" "sk" "cluster" "vel" 146.031746031746 -23.8662131519275 "esquiando"
"19" 14.8072562358276 99.6145124716553 45.1020408163266 "ACM0011" "alt" "f" "Sevilla" "sk" "cluster" "vel" 159.52380952381 -42.4036281179137 "escudo"
"21" 40.0907029478458 59.3877551020407 80.1814058956917 "ACM0011" "alt" "f" "Sevilla" "sk" "cluster" "vel" 179.659863945578 -9.64852607709759 "escudo"
"28" 20.0453514739229 74.6485260770975 40.0907029478458 "ACM0011" "alt" "f" "Sevilla" "sk" "cluster" "vel" 134.784580498866 -27.3015873015872 "escuela"
"39" 30.0680272108843 19.5691609977324 110.249433106576 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 159.886621315193 5.24943310657591 "despide"
"43" 15.0340136054423 29.2970521541949 105.238095238095 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 149.569160997732 -7.13151927437639 "espina"
"50" 30.0680272108843 34.5124716553288 75.170068027211 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 139.750566893424 -2.22222222222217 "despierta"
"51" 4.30839002267578 24.4897959183673 120.272108843537 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 149.070294784581 -10.0907029478458 "despierta"
"52" 10.0226757369614 24.5578231292517 115.260770975057 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 149.84126984127 -7.26757369614518 "espiaba"
"53" 25.0340136054421 29.2290249433107 105.238095238095 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 159.501133786848 -2.09750566893422 "espiaba"
"54" 65.4195011337868 34.3990929705215 80.1814058956917 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 180 15.5102040816325 "espiaba"
"55" 15.0340136054422 43.764172335601 75.1700680272108 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 133.968253968254 -14.3650793650793 "espiando"
"56" 3.56009070294783 29.3424036281178 100.226757369615 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 133.12925170068 -12.8911564625851 "espiando"
"57" 20.0453514739229 34.5351473922902 100.226757369615 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 154.807256235828 -7.24489795918373 "espiando"
"60" 25.0566893424036 49.5238095238095 90.2040816326531 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 164.784580498866 -12.233560090703 "disputa"
"63" 0 44.2630385487529 150.340136054422 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 194.603174603175 -22.1315192743765 "espuma"
"65" 25.0566893424037 29.047619047619 165.374149659864 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 219.478458049887 -1.99546485260771 "esputo"
"66" -5.01133786848072 48.9115646258501 120.272108843537 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 164.172335600907 -26.9614512471653 "esputo"
"67" 20.0453514739229 44.37641723356 100.226757369615 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 164.648526077097 -12.1655328798186 "despues"
"70" 45.1020408163265 9.34240362811784 115.260770975057 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 169.705215419501 17.8798185941043 "espuela"
"71" 0 49.2743764172336 125.283446712018 "ACM0011" "alt" "f" "Sevilla" "sp" "cluster" "bil" 174.557823129252 -24.6371882086167 "espuela"
"73" 25.0566893424036 34.4444444444446 70.1587301587301 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 129.659863945578 -4.69387755102048 "vestuario"
"74" 19.4104308390022 34.2857142857142 80.1814058956917 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 133.877551020408 -7.43764172335614 "vestuario"
"75" 20.204081632653 34.5351473922902 80.1814058956917 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 134.920634920635 -7.16553287981867 "vestuario"
"82" 15.0340136054422 59.1156462585035 75.1700680272108 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 149.319727891157 -22.0408163265306 "bestiando"
"84" 4.8526077097506 64.5124716553288 100.226757369615 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 169.591836734694 -29.8299319727892 "bestiando"
"85" 25.1927437641723 49.092970521542 70.1587301587301 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 144.444444444444 -11.9501133786849 "destiempo"
"94" 130.294784580499 29.0249433106576 100.226757369615 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 259.546485260771 50.6349206349207 "estuela"
"95" 10.0226757369614 64.4897959183673 95.2154195011339 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 169.727891156463 -27.2335600907029 "estuela"
"96" 20.045351473923 79.3424036281179 75.1700680272108 "ACM0011" "alt" "f" "Sevilla" "st" "cluster" "alv" 174.557823129252 -29.6485260770975 "estuela"
"97" 0 59.3877551020407 80.1814058956917 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 139.569160997732 -29.6938775510205 "cosquillas"
"98" 0 69.5691609977325 85.1927437641723 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 154.761904761905 -34.7845804988663 "cosquillas"
"99" 20.0453514739229 59.7505668934241 50.1133786848072 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 129.909297052154 -19.8526077097506 "cosquillas"
"100" 20.0453514739229 64.5804988662132 60.1360544217687 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 144.761904761905 -22.2675736961452 "esquia"
"101" 5.01133786848072 48.8888888888887 280.634920634921 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 334.53514739229 -21.9387755102039 "esquia"
"102" 0 74.3310657596372 85.1927437641723 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 159.52380952381 -37.1655328798186 "esquia"
"103" 15.7369614512472 39.047619047619 95.2154195011339 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 150 -11.655328798186 "esquife"
"104" 20.0453514739229 59.5011337868481 80.1814058956917 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 159.727891156463 -19.7278911564626 "esquife"
"105" 15.0340136054422 49.6825396825396 70.1587301587301 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 134.875283446712 -17.3242630385487 "esquife"
"106" 5.07936507936495 64.7619047619048 70.1587301587302 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 140 -29.8412698412699 "esquina"
"107" 10.0226757369614 63.424036281179 65.1473922902494 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 138.59410430839 -26.7006802721089 "esquina"
"108" 0.0680272108842246 74.7392290249433 85.1927437641724 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 160 -37.3356009070296 "esquina"
"109" 5.01133786848072 59.3424036281178 70.1587301587301 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 134.512471655329 -27.1655328798186 "esquiando"
"110" 10.1587301587302 64.6938775510204 65.1473922902494 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 140 -27.2675736961451 "esquiando"
"111" 25.0566893424036 89.6825396825396 60.1360544217687 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 174.875283446712 -32.312925170068 "esquiando"
"112" 10.1133786848072 59.7505668934241 60.1360544217687 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 130 -24.8185941043084 "escucha"
"113" 20.0453514739228 64.7845804988663 60.1360544217688 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 144.965986394558 -22.3696145124717 "escucha"
"114" 5.12471655328807 64.7165532879818 70.1587301587301 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 140 -29.7959183673469 "escudo"
"115" 10.0226757369614 54.7165532879818 60.1360544217687 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 124.875283446712 -22.3469387755101 "escudo"
"116" 30.0680272108843 69.7052154195011 50.1133786848072 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 149.886621315193 -19.8185941043084 "escudo"
"117" 10.0226757369614 54.1269841269841 75.1700680272108 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 139.319727891156 -22.0521541950113 "escupe"
"118" 35.0793650793652 48.8888888888887 60.1360544217687 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 144.104308390023 -6.9047619047617 "escupe"
"119" 0 54.5578231292518 60.1360544217687 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 114.69387755102 -27.2789115646259 "escupe"
"120" 15.0340136054421 74.3990929705215 85.1927437641724 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 174.625850340136 -29.6825396825396 "vasca"
"121" 80.1814058956916 34.1043083900227 55.124716553288 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 169.410430839002 23.0385487528345 "vasca"
"122" 20.0453514739228 54.2857142857143 75.170068027211 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 149.501133786848 -17.1201814058957 "vasca"
"123" 10.0226757369614 49.5238095238095 80.1814058956917 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 139.727891156463 -19.7505668934241 "escuela"
"124" 5.01133786848072 64.172335600907 80.1814058956917 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 149.365079365079 -29.5804988662132 "escuela"
"125" 15.0340136054422 74.6031746031747 70.1587301587301 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 159.795918367347 -29.7845804988663 "escuela"
"126" 20.0453514739229 49.5691609977325 75.1700680272108 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 144.784580498866 -14.7619047619048 "escueto"
"127" 4.30839002267578 49.6145124716552 105.238095238095 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 159.160997732426 -22.6530612244896 "escueto"
"128" 15.0340136054422 44.8072562358277 70.1587301587301 "ADG0021" "jung" "f" "Sevilla" "sk" "cluster" "vel" 130 -14.8866213151928 "escueto"
"130" 10.0226757369614 49.1609977324264 110.249433106576 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 169.433106575964 -19.5691609977324 "caspa"
"131" -5.01133786848072 29.1383219954648 110.249433106576 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 134.37641723356 -17.0748299319728 "caspa"
"132" -5.01133786848072 29.5691609977324 110.249433106576 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 134.807256235828 -17.2902494331065 "despide"
"133" 0 19.546485260771 85.1927437641723 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 104.739229024943 -9.77324263038543 "despide"
"134" 0 34.421768707483 120.272108843537 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 154.69387755102 -17.2108843537416 "despide"
"135" 10.0226757369614 34.6485260770975 105.238095238095 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 149.909297052154 -12.3129251700681 "espia"
"136" 10.0226757369616 34.5578231292517 110.249433106576 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 154.829931972789 -12.2675736961451 "espia"
"137" 30.0680272108842 24.5351473922901 130.294784580499 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 184.897959183673 2.76643990929711 "espia"
"138" 5.01133786848072 29.4784580498867 105.238095238095 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 139.727891156463 -12.233560090703 "espina"
"139" -19.2290249433107 24.4897959183673 125.283446712018 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 130.544217687075 -21.859410430839 "espina"
"140" 50.1133786848072 59.6145124716552 80.1814058956917 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 189.909297052154 -4.75056689342409 "espina"
"141" 0 39.5691609977324 105.238095238095 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 144.807256235828 -19.7845804988661 "respira"
"142" 5.01133786848072 19.6371882086167 110.249433106576 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 134.897959183673 -7.31292517006796 "respira"
"143" -5.01133786848072 24.2630385487528 110.249433106576 "ADG0021" "jung" "f" "Sevilla" "sp" "cluster" "bil" 129.501133786848 -14.6371882086167 "respira"
